;;;;;;;;;;;;;;;N;N;;;;;;;;;;;
;;;;;;;;;;;;;;N;V;V;N;;;;;;;;;;
;;;;;;;;;;;;;N;V;V;N;;;;;;;;;;;
;;;;;;;;;;;;;N;V;N;;;;;;;;;;;;
;;;;;;;;N;N;N;N;;N;V;N;;N;N;N;N;;;;;;;
;;;;;;N;N;O;O;O;F;N;N;V;N;N;F;O;O;O;N;N;;;;;
;;;;N;N;F;O;O;O;F;N;O;O;N;O;O;N;F;O;O;O;F;N;N;;;
;;;N;O;F;F;O;O;F;N;O;O;O;N;O;O;O;N;F;O;O;F;F;O;N;;
;;N;O;F;F;O;O;F;F;N;O;O;O;N;O;O;O;N;F;F;O;O;F;F;O;N;
;;N;O;F;O;O;O;F;O;O;O;O;F;O;F;O;O;O;O;F;O;O;O;F;O;N;
;N;O;F;N;N;N;F;F;O;O;O;F;O;O;O;F;O;O;O;F;F;N;N;N;F;O;N
;N;O;F;O;N;N;N;N;N;N;F;F;O;O;O;F;F;N;N;N;N;N;N;O;F;O;N
;N;F;F;O;N;N;N;N;N;N;N;F;O;O;O;O;N;N;N;N;N;N;N;O;F;F;N
;N;F;O;O;N;N;N;N;N;N;N;N;O;O;O;N;N;N;N;N;N;N;N;O;O;F;N
;N;F;F;O;O;N;N;N;N;N;N;O;O;N;O;O;N;N;N;N;N;N;O;O;F;F;N
;N;O;F;O;O;F;N;N;N;N;F;O;N;N;N;O;F;N;N;N;N;F;O;O;F;O;N
;N;O;F;O;O;O;F;O;O;O;F;F;O;O;O;F;F;O;O;O;F;O;O;O;F;O;N
;N;O;F;F;O;N;F;F;O;O;O;F;O;N;O;F;O;O;O;F;F;N;O;F;F;O;N
;;N;O;F;N;N;N;N;F;O;O;F;N;N;N;F;O;O;F;N;N;N;N;F;O;N;
;;N;O;N;N;O;N;N;N;O;N;N;N;O;N;N;N;O;N;N;N;O;N;N;O;N;
;;;N;O;F;O;O;O;N;N;N;N;O;O;O;N;N;N;N;O;O;O;F;O;F;;
;;;;N;N;F;O;O;O;N;N;O;F;O;F;O;N;N;O;O;O;F;N;N;;;
;;;;;;N;N;O;O;F;F;O;O;N;O;O;F;F;O;O;N;N;;;;;
;;;;;;;;N;N;N;N;N;N;;N;N;N;N;N;N;;;;;;;
